Steering Value,Filename
0.603,196122232.jpg
0.572,196255527.jpg
0.431,196455606.jpg
0.253,196622229.jpg
0.481,196755519.jpg
0.666,196888910.jpg
0.427,197022214.jpg
0.365,197122202.jpg
0.581,197255524.jpg
0.477,197388848.jpg
0.471,197522180.jpg
0.564,197688851.jpg
0.536,197822178.jpg
0.178,197922195.jpg
0.266,198055515.jpg
-0.141,198188917.jpg
-0.473,198322176.jpg
-0.412,198422197.jpg
-0.641,198555513.jpg
-0.743,198688869.jpg
-0.738,198855504.jpg
-0.778,198988845.jpg
-0.793,199155531.jpg
-0.792,199288847.jpg
-0.72,199455495.jpg
-0.688,199555522.jpg
-0.613,199688833.jpg
-0.584,199822162.jpg
-0.478,199955537.jpg
-0.572,200088835.jpg
-0.417,200222203.jpg
-0.41,200355492.jpg
-0.492,200488847.jpg
-0.637,200622154.jpg
-0.558,200822151.jpg
-0.559,200922168.jpg
-0.22,201055531.jpg
-0.484,201188876.jpg
0.223,201322157.jpg
0.024,201455481.jpg
0.338,201588885.jpg
0.299,201755558.jpg
0.793,201855482.jpg
0.366,202022165.jpg
0.06,202155524.jpg
0.022,202288810.jpg
-0.149,202422169.jpg
0.272,202555473.jpg
0.248,202688810.jpg
0.086,202855485.jpg
0.247,202988823.jpg
0.232,203122137.jpg
0.064,203255491.jpg
0.165,203388833.jpg
0.196,203522164.jpg
0.209,203688841.jpg
0.068,203822130.jpg
0.267,203955518.jpg
0.214,204088796.jpg
-0.015,204222127.jpg
-0.049,204355457.jpg
0.106,204522266.jpg
-0.083,204655513.jpg
-0.018,204788812.jpg
-0.139,204922158.jpg
0.024,205055466.jpg
0.031,205188794.jpg
0.144,205355453.jpg
0.038,205555461.jpg
0.05,205722181.jpg
-0.021,205888776.jpg
-0.064,206022178.jpg
-0.03,206155491.jpg
-0.023,206288788.jpg
-0.066,206422145.jpg
-0.068,206555443.jpg
-0.115,206722143.jpg
-0.194,206855445.jpg
-0.08,206988770.jpg
-0.2,207122102.jpg
-0.577,207255431.jpg
-0.035,207388774.jpg
-0.134,207555446.jpg
-0.189,207688763.jpg
-0.043,207822140.jpg
0.007,207955430.jpg
-0.018,208088789.jpg
-0.177,208222093.jpg
-0.08,208388762.jpg
-0.018,208522120.jpg
-0.061,208655422.jpg
-0.197,208788780.jpg
-0.228,208922093.jpg
-0.265,209088778.jpg
-0.346,209222088.jpg
-0.351,209355940.jpg
-0.371,209488753.jpg
-0.281,209622084.jpg
-0.029,209755413.jpg
-0.085,209888786.jpg
0.102,210055420.jpg
-0.451,210322146.jpg
0.193,210455430.jpg
-0.272,210622079.jpg
0.24,210755411.jpg
0.179,210888741.jpg
-0.477,211022075.jpg
-0.584,211188749.jpg
-0.594,211322077.jpg
-0.581,211455411.jpg
-0.131,211588742.jpg
-0.167,211755396.jpg
-0.038,211888732.jpg
0.182,212055409.jpg
0.242,212188750.jpg
-0.06,212322059.jpg
-0.044,212455422.jpg
-0.072,212622075.jpg
-0.136,212755393.jpg
0.361,212922059.jpg
0.478,213055389.jpg
-0.364,213188741.jpg
0.428,213322055.jpg
0.279,213488719.jpg
0.549,213622082.jpg
0.536,213788747.jpg
0.184,213922054.jpg
0.453,214088720.jpg
0.569,214222051.jpg
0.475,214388714.jpg
0.328,214522061.jpg
0.334,214688732.jpg
0.348,214822042.jpg
0.36,214988707.jpg
0.442,215122057.jpg
0.128,215288707.jpg
0.172,215422045.jpg
0.483,215588701.jpg
0.296,215722035.jpg
0.17,215888702.jpg
0.056,216022039.jpg
0.369,216188896.jpg
-0.273,216322036.jpg
0.347,216488696.jpg
0.321,216622058.jpg
0.403,216788699.jpg
0.282,216922025.jpg
0.246,217088704.jpg
0.443,217222037.jpg
0.412,217388691.jpg
0.469,217522303.jpg
0.538,217688752.jpg
0.445,217822038.jpg
0.451,217988688.jpg
0.435,218122067.jpg
0.461,218288709.jpg
0.508,218422016.jpg
0.556,218588703.jpg
0.517,218722029.jpg
0.506,218855344.jpg
0.535,218988703.jpg
0.248,219155384.jpg
0.23,219288678.jpg
0.522,219455340.jpg
0.544,219588675.jpg
0.528,219755346.jpg
0.55,219888669.jpg
0.561,220055359.jpg
0.459,220188674.jpg
0.561,220355526.jpg
0.573,220488666.jpg
0.579,220655333.jpg
0.557,220788667.jpg
0.604,220955369.jpg
0.604,221088664.jpg
0.622,221221996.jpg
0.622,221355323.jpg
0.612,221521985.jpg
0.613,221688677.jpg
0.625,221822007.jpg
0.596,221955358.jpg
0.568,222122021.jpg
0.628,222255314.jpg
0.64,222421982.jpg
0.565,222555337.jpg
0.645,222688647.jpg
0.638,222855310.jpg
0.636,222988642.jpg
0.634,223155375.jpg
-0.684,223288645.jpg
0.781,223421979.jpg
-0.719,223588671.jpg
-0.724,223721973.jpg
-0.722,223888639.jpg
-0.645,224021968.jpg
-0.752,224188654.jpg
-0.681,224321971.jpg
-0.724,224455331.jpg
-0.689,224588648.jpg
-0.687,224755305.jpg
-0.717,224888630.jpg
-0.707,225021960.jpg
-0.691,225155321.jpg
-0.667,225321962.jpg
-0.591,225455291.jpg
-0.671,225588628.jpg
-0.655,225721966.jpg
-0.401,225888626.jpg
-0.467,226021992.jpg
0.259,226155289.jpg
-0.195,226288622.jpg
-0.072,226455285.jpg
0.274,226588651.jpg
0.424,226721986.jpg
0.512,226855281.jpg
0.549,227021950.jpg
-0.365,227155300.jpg
-0.436,227288610.jpg
-0.324,227421943.jpg
-0.343,227588628.jpg
-0.401,227721961.jpg
-0.286,227855273.jpg
-0.119,227988631.jpg
-0.313,228155268.jpg
-0.285,228288603.jpg
-0.305,228421935.jpg
-0.315,228555278.jpg
-0.151,228721962.jpg
-0.309,228855266.jpg
-0.297,228988617.jpg
-0.26,229121932.jpg
-0.377,229288591.jpg
-0.309,229421929.jpg
-0.329,229555274.jpg
-0.344,229688596.jpg
-0.323,229855256.jpg
-0.328,229988622.jpg
-0.272,230121963.jpg
-0.233,230255253.jpg
-0.161,230421921.jpg
-0.282,230555255.jpg
-0.098,230721955.jpg
-0.43,230855299.jpg
0.505,230988645.jpg
0.503,231121929.jpg
0.515,231288578.jpg
0.047,231421912.jpg
0.462,231555248.jpg
0.561,231688573.jpg
0.059,231821909.jpg
0.561,231955238.jpg
0.573,232121918.jpg
0.618,232255236.jpg
0.614,232388584.jpg
0.62,232521904.jpg
0.593,232688584.jpg
0.658,232888568.jpg
0.625,232988597.jpg
0.706,233121909.jpg
0.671,233288679.jpg
0.702,233455237.jpg
0.668,233588563.jpg
0.677,233721892.jpg
0.711,233855236.jpg
0.705,233988590.jpg
0.693,234155246.jpg
0.675,234321893.jpg
0.729,234455217.jpg
0.725,234588565.jpg
0.727,234721986.jpg
0.731,234855232.jpg
0.775,234988573.jpg
0.823,235121891.jpg
-0.772,235255258.jpg
-0.761,235555216.jpg
-0.743,235688547.jpg
-0.747,235855234.jpg
-0.771,236055203.jpg
-0.768,236221869.jpg
-0.749,236355219.jpg
-0.773,236488574.jpg
-0.769,236621877.jpg
-0.751,236755202.jpg
-0.759,236888531.jpg
-0.747,237055222.jpg
-0.731,237255200.jpg
-0.73,237388535.jpg
-0.716,237521885.jpg
-0.668,237655209.jpg
-0.669,237788523.jpg
-0.594,237921858.jpg
-0.518,238055197.jpg
-0.238,238188520.jpg
-0.424,238321854.jpg
-0.287,238488536.jpg
-0.206,238621874.jpg
0.142,238755189.jpg
-0.365,238888518.jpg
-0.451,239055215.jpg
-0.398,239255186.jpg
-0.249,239388538.jpg
-0.021,239588535.jpg
0.432,239721850.jpg
0.504,239855196.jpg
-0.07,239988518.jpg
0.005,240121863.jpg
0.445,240288536.jpg
-0.028,240488555.jpg
0.579,240621843.jpg
0.444,240755189.jpg
0.028,240888504.jpg
0.526,241021842.jpg
0.497,241155172.jpg
0.158,241288505.jpg
0.112,241455175.jpg
0.591,241588538.jpg
0.005,241721834.jpg
-0.204,241855163.jpg
-0.105,242021855.jpg
0.094,242155185.jpg
0.029,242288505.jpg
0.208,242421825.jpg
0.253,242555154.jpg
-0.005,242688501.jpg
0.186,242855215.jpg
0.097,243055162.jpg
0.062,243155152.jpg
0.005,243288483.jpg
-0.015,243455307.jpg
-0.014,243655146.jpg
0.211,243821814.jpg
0.17,243955153.jpg
0.196,244088519.jpg
0.174,244221817.jpg
0.416,244355146.jpg
0.305,244488480.jpg
0.282,244621808.jpg
0.38,244755143.jpg
0.277,244889018.jpg
0.123,245021829.jpg
0.232,245155172.jpg
0.023,245288474.jpg
-0.006,245421801.jpg
0.21,245555138.jpg
0.466,245688476.jpg
0.38,245821796.jpg
0.12,245955147.jpg
0.292,246088463.jpg
0.253,246255162.jpg
0.195,246388461.jpg
0.301,246521836.jpg
0.189,246655148.jpg
0.433,246821789.jpg
0.367,246955123.jpg
0.289,247055143.jpg
0.471,247188452.jpg
0.346,247321788.jpg
0.288,247455115.jpg
-0.322,247621786.jpg
-0.537,247788483.jpg
0.301,292853589.jpg
0.33,292986916.jpg
0.308,293153612.jpg
0.336,293286933.jpg
0.418,293420245.jpg
0.484,293586914.jpg
0.634,293720243.jpg
0.664,293886911.jpg
0.659,294020263.jpg
0.678,294153573.jpg
0.655,294320274.jpg
-0.657,294453574.jpg
0.771,294586910.jpg
0.74,294720237.jpg
-0.527,294886904.jpg
-0.313,295053569.jpg
0.877,295220235.jpg
-0.295,295353566.jpg
0.835,295486894.jpg
0.808,295653566.jpg
0.8,295786903.jpg
0.77,295920227.jpg
0.749,296053561.jpg
0.783,296220248.jpg
0.748,296420253.jpg
-0.648,296553556.jpg
-0.672,296686915.jpg
-0.706,296820219.jpg
0.663,296953563.jpg
0.724,297120222.jpg
0.693,297253548.jpg
0.732,297386883.jpg
0.783,297520217.jpg
0.717,297686885.jpg
0.811,297820266.jpg
-0.757,297953547.jpg
-0.727,298086880.jpg
-0.7,298220209.jpg
-0.741,298353555.jpg
0.493,298520206.jpg
0.428,298653543.jpg
0.532,298786872.jpg
0.393,298920214.jpg
-0.068,299053535.jpg
-0.244,299186867.jpg
-0.517,299320200.jpg
-0.468,299453532.jpg
-0.522,299620211.jpg
-0.592,299753532.jpg
-0.58,299886864.jpg
-0.706,300020193.jpg
0.808,300186861.jpg
0.834,300320214.jpg
0.791,300486855.jpg
0.737,300620193.jpg
0.746,300786857.jpg
0.721,300953547.jpg
0.663,301120189.jpg
0.544,301253517.jpg
0.483,301420227.jpg
0.6,301553575.jpg
0.536,301720187.jpg
0.47,301886880.jpg
0.431,302053544.jpg
-0.834,302186878.jpg
-0.814,302353540.jpg
-0.631,302486853.jpg
-0.744,302653510.jpg
-0.762,302786840.jpg
-0.729,302953505.jpg
-0.693,303086844.jpg
-0.719,303253500.jpg
0.627,303386837.jpg
-0.705,303553505.jpg
-0.745,303720177.jpg
-0.814,303853511.jpg
-0.808,304020162.jpg
-0.766,304153500.jpg
-0.735,304320174.jpg
-0.694,304486826.jpg
-0.784,304620158.jpg
0.578,304753490.jpg
0.458,304920174.jpg
0.212,305053490.jpg
0.147,305186825.jpg
0.118,305353517.jpg
0.666,305486841.jpg
-0.228,305653488.jpg
0.118,305786813.jpg
-0.061,305920147.jpg
0.133,306086870.jpg
-0.114,306220167.jpg
-0.021,306353510.jpg
-0.392,306520143.jpg
-0.649,306653475.jpg
-0.647,306820153.jpg
-0.092,306953471.jpg
0.652,307120144.jpg
0.63,307253467.jpg
0.412,307420139.jpg
0.646,307553467.jpg
0.638,307720141.jpg
0.691,307853467.jpg
0.672,308020132.jpg
0.713,308153463.jpg
0.612,308320135.jpg
0.719,308453462.jpg
0.757,308586812.jpg
0.615,308720162.jpg
0.517,308886795.jpg
0.563,309020129.jpg
0.623,309153454.jpg
0.624,309320146.jpg
0.575,309453452.jpg
0.581,309586793.jpg
0.717,309753451.jpg
0.767,309886791.jpg
0.804,310053471.jpg
-0.162,310253450.jpg
0.055,310386779.jpg
0.092,310520111.jpg
0.1,310686778.jpg
0.165,310820111.jpg
0.044,310986782.jpg
0.111,311120106.jpg
0.356,311286770.jpg
0.319,311420117.jpg
0.434,311586773.jpg
0.439,311720123.jpg
0.638,311886776.jpg
0.551,312020097.jpg
0.636,312186772.jpg
0.718,312320096.jpg
0.673,312486767.jpg
0.712,312620105.jpg
0.672,312753430.jpg
0.597,312920116.jpg
0.732,313053423.jpg
0.619,313186858.jpg
0.759,313353425.jpg
0.73,313486778.jpg
0.732,313620148.jpg
0.72,313753416.jpg
0.674,313920087.jpg
0.677,314120085.jpg
0.544,314220127.jpg
0.53,314386745.jpg
0.339,314520099.jpg
0.329,314653411.jpg
0.536,314786748.jpg
0.732,314920074.jpg
0.663,315053406.jpg
0.271,315186747.jpg
0.105,315320078.jpg
0.156,315453429.jpg
0.387,315586738.jpg
0.424,315753403.jpg
0.334,315886733.jpg
0.498,316053398.jpg
0.546,316186734.jpg
0.252,316320062.jpg
0.587,316486734.jpg
0.646,316620067.jpg
0.694,316786732.jpg
0.594,316953438.jpg
0.506,317086763.jpg
0.402,317253391.jpg
0.326,317386733.jpg
-0.119,317553387.jpg
-0.447,317686727.jpg
0.615,317853404.jpg
0.577,317986725.jpg
0.53,318153400.jpg
0.588,318286954.jpg
0.547,318453393.jpg
0.463,318586723.jpg
0.342,318720050.jpg
0.823,318853393.jpg
0.079,319020064.jpg
0.755,319153379.jpg
0.797,319286721.jpg
0.815,319420066.jpg
0.469,319586794.jpg
-0.556,319720058.jpg
-0.283,319886714.jpg
-0.119,320020040.jpg
0.1,320186705.jpg
0.305,320320037.jpg
0.374,320486708.jpg
0.361,320620034.jpg
0.472,320786703.jpg
0.491,320920039.jpg
0.541,321086698.jpg
0.514,321220038.jpg
0.449,321386699.jpg
0.359,321520709.jpg
0.391,321686693.jpg
0.369,321820025.jpg
0.326,321953373.jpg
0.224,322086692.jpg
0.132,322253370.jpg
0.103,322386711.jpg
0.151,322520020.jpg
0.208,322653348.jpg
0.179,322820007.jpg
0.065,322953347.jpg
0.169,323120039.jpg
0.103,323253348.jpg
0.067,323420033.jpg
0.007,323620024.jpg
0.165,323753337.jpg
0.629,323886677.jpg
0.733,324020008.jpg
0.76,324186675.jpg
0.697,324320004.jpg
0.705,324453334.jpg
0.752,324620008.jpg
0.779,324786669.jpg
-0.163,324920016.jpg
0.002,325053329.jpg
-0.619,325186664.jpg
0.601,325319993.jpg
-0.257,325486659.jpg
-0.276,325620006.jpg
-0.094,325753327.jpg
-0.314,325886658.jpg
-0.337,326019996.jpg
-0.365,326153320.jpg
0.657,326319987.jpg
-0.651,326419997.jpg
0.7,326583795.jpg
-0.758,326586647.jpg
-0.792,326686651.jpg
0.718,326750458.jpg
-0.763,326853321.jpg
0.685,326883818.jpg
0.676,327017121.jpg
-0.74,327053317.jpg
0.663,327150463.jpg
-0.724,327186648.jpg
0.679,327317121.jpg
0.502,327353318.jpg
0.727,327450451.jpg
-0.611,327486691.jpg
0.763,327583784.jpg
-0.564,327619977.jpg
0.79,327717114.jpg
-0.51,327819973.jpg
0.81,327883797.jpg
-0.547,327953304.jpg
0.801,328017114.jpg
-0.645,328119977.jpg
0.802,328150448.jpg
0.794,328283781.jpg
-0.703,328319970.jpg
0.812,328450443.jpg
-0.412,328486638.jpg
0.676,328583778.jpg
-0.281,328619968.jpg
0.797,328717107.jpg
-0.399,328753315.jpg
0.807,328850438.jpg
-0.383,328886647.jpg
0.803,328983780.jpg
-0.212,329019963.jpg
-0.705,329117114.jpg
-0.214,329153295.jpg
-0.705,329283773.jpg
-0.412,329319956.jpg
-0.713,329417107.jpg
-0.07,329453305.jpg
-0.659,329550438.jpg
-0.144,329619961.jpg
-0.693,329717116.jpg
-0.279,329753309.jpg
-0.7,329850432.jpg
-0.454,329919965.jpg
-0.64,329983766.jpg
-0.451,330053287.jpg
-0.613,330150425.jpg
-0.555,330219958.jpg
-0.64,330283758.jpg
-0.616,330353288.jpg
-0.597,330417099.jpg
-0.7,330519952.jpg
-0.602,330550439.jpg
-0.737,330653301.jpg
-0.582,330717093.jpg
-0.751,330786622.jpg
-0.494,330850424.jpg
-0.71,330953284.jpg
-0.498,331017117.jpg
-0.75,331086619.jpg
-0.563,331150416.jpg
-0.653,331219945.jpg
-0.503,331317092.jpg
-0.67,331386615.jpg
-0.266,331450454.jpg
-0.754,331519964.jpg
0.903,331583751.jpg
-0.745,331653277.jpg
-0.658,331717085.jpg
-0.774,331786612.jpg
0.398,331883752.jpg
-0.784,331953271.jpg
-0.254,332017084.jpg
-0.761,332086614.jpg
-0.672,332183774.jpg
-0.78,332253336.jpg
-0.598,332317080.jpg
-0.696,332453271.jpg
-0.753,332483751.jpg
-0.765,332586605.jpg
0.652,332617081.jpg
-0.734,332719964.jpg
0.485,332750408.jpg
-0.655,332853268.jpg
-0.759,332883740.jpg
-0.713,332986636.jpg
-0.777,333050407.jpg
-0.786,333119930.jpg
-0.788,333183772.jpg
0.372,333253259.jpg
-0.852,333350425.jpg
0.797,333386602.jpg
0.87,333519933.jpg
0.82,333550404.jpg
0.862,333686596.jpg
0.885,333717075.jpg
0.845,333819929.jpg
0.051,333883885.jpg
-0.89,333986630.jpg
0.013,334017064.jpg
-0.072,334150397.jpg
0.866,334153355.jpg
-0.266,334283727.jpg
-0.896,334286590.jpg
0.747,334450450.jpg
-0.676,334453268.jpg
0.846,334583754.jpg
-0.325,334586591.jpg
0.847,334717064.jpg
-0.299,334719921.jpg
0.84,334850421.jpg
-0.573,334886619.jpg
0.839,335017055.jpg
-0.672,335019917.jpg
0.828,335117066.jpg
-0.396,335186584.jpg
0.855,335283722.jpg
-0.27,335319912.jpg
0.839,335417055.jpg
0.132,335486617.jpg
0.858,335583739.jpg
0.534,335653247.jpg
0.86,335717054.jpg
0.559,335786577.jpg
0.712,335953247.jpg
0.808,336017065.jpg
0.635,336119926.jpg
0.841,336150382.jpg
0.49,336253245.jpg
0.865,336283711.jpg
-0.76,336419915.jpg
0.859,336450381.jpg
-0.817,336553237.jpg
-0.849,336583730.jpg
-0.818,336719907.jpg
-0.81,336750371.jpg
-0.772,336883717.jpg
-0.811,336886599.jpg
-0.789,337017041.jpg
-0.799,337053247.jpg
-0.718,337183746.jpg
-0.793,337186569.jpg
-0.674,337317046.jpg
-0.741,337353247.jpg
-0.644,337483702.jpg
-0.59,337486569.jpg
-0.577,337650368.jpg
-0.452,337653232.jpg
-0.459,337783701.jpg
-0.358,337786564.jpg
-0.442,337950367.jpg
0.273,337953225.jpg
-0.107,338083701.jpg
0.266,338086598.jpg
-0.705,338250383.jpg
-0.456,338253225.jpg
-0.224,338383700.jpg
-0.216,338386557.jpg
0.563,338550381.jpg
-0.391,338553234.jpg
-0.402,338683690.jpg
-0.64,338686559.jpg
-0.266,338850364.jpg
-0.693,338853223.jpg
-0.192,338983687.jpg
-0.682,338986555.jpg
-0.302,339150355.jpg
-0.68,339153221.jpg
-0.287,339283702.jpg
-0.668,339286558.jpg
-0.495,339419890.jpg
-0.106,339450356.jpg
-0.136,339583696.jpg
-0.46,339586547.jpg
-0.366,339719880.jpg
-0.42,339750356.jpg
-0.709,339886555.jpg
-0.549,339917038.jpg
-0.628,340019891.jpg
-0.607,340050354.jpg
-0.503,340153214.jpg
-0.545,340217041.jpg
-0.308,340319875.jpg
-0.559,340350346.jpg
-0.145,340453204.jpg
-0.571,340517010.jpg
0.07,340619872.jpg
-0.534,340683674.jpg
-0.104,340753207.jpg
-0.62,340817018.jpg
-0.09,340886539.jpg
-0.673,340983676.jpg
0.137,341019867.jpg
-0.708,341117011.jpg
0.416,341186536.jpg
0.441,341283676.jpg
0.126,341319869.jpg
0.297,341417012.jpg
0.472,341486639.jpg
0.406,341583672.jpg
0.588,341686536.jpg
0.385,341750420.jpg
0.61,341819863.jpg
0.535,341917002.jpg
-0.703,341953194.jpg
0.573,342050334.jpg
-0.417,342086583.jpg
-0.64,342216999.jpg
-0.558,342253221.jpg
0.457,342350339.jpg
-0.526,342386571.jpg
0.411,342516999.jpg
-0.516,342519867.jpg
-0.882,342650327.jpg
-0.516,342686531.jpg
-0.203,342816998.jpg
-0.559,342819859.jpg
-0.207,342983705.jpg
0.571,342986546.jpg
-0.469,343116992.jpg
0.61,343119854.jpg
-0.573,343253185.jpg
-0.591,343283674.jpg
-0.489,343386518.jpg
-0.892,343417000.jpg
-0.472,343553184.jpg
0.159,343583660.jpg
-0.491,343686520.jpg
0.208,343716988.jpg
-0.473,343853185.jpg
0.184,343883695.jpg
-0.509,343986520.jpg
0.163,344016985.jpg
-0.678,344150315.jpg
-0.543,344153184.jpg
-0.635,344286524.jpg
-0.703,344316986.jpg
-0.088,344450318.jpg
-0.638,344453173.jpg
-0.652,344586507.jpg
0.862,344616983.jpg
0.799,344750315.jpg
-0.656,344753177.jpg
0.749,344883645.jpg
-0.662,344886504.jpg
-0.742,345019842.jpg
0.647,345050335.jpg
-0.804,345153179.jpg
0.555,345183640.jpg
0.601,345316979.jpg
-0.833,345319841.jpg
-0.822,345453216.jpg
0.234,345483658.jpg
-0.806,345586498.jpg
-0.175,345616979.jpg
0.658,345719838.jpg
-0.382,345783637.jpg
-0.782,345886513.jpg
-0.607,345916966.jpg
-0.773,346019827.jpg
-0.685,346083639.jpg
-0.753,346153169.jpg
-0.739,346216969.jpg
-0.696,346286526.jpg
-0.835,346383634.jpg
-0.725,346453159.jpg
-0.818,346516965.jpg
-0.742,346586493.jpg
0.77,346683627.jpg
-0.69,346719825.jpg
0.722,346816969.jpg
-0.659,346853157.jpg
0.756,346983665.jpg
-0.621,347053156.jpg
-0.683,347116963.jpg
-0.58,347186490.jpg
-0.705,347283634.jpg
-0.584,347353154.jpg
-0.687,347416967.jpg
-0.548,347486479.jpg
-0.659,347583638.jpg
-0.543,347653160.jpg
-0.645,347716985.jpg
-0.517,347786496.jpg
0.753,347883627.jpg
-0.505,347953149.jpg
0.746,348016950.jpg
-0.515,348119815.jpg
0.726,348183619.jpg
-0.607,348253145.jpg
0.724,348316955.jpg
-0.658,348419813.jpg
-0.735,348483624.jpg
-0.738,348586484.jpg
-0.656,348616954.jpg
0.245,348719812.jpg
-0.611,348783624.jpg
0.181,348886475.jpg
-0.709,348916958.jpg
0.367,349019841.jpg
-0.67,349083619.jpg
0.387,349186473.jpg
-0.63,349216982.jpg
0.339,349319817.jpg
-0.626,349383608.jpg
0.283,349486467.jpg
0.649,349516945.jpg
0.238,349653168.jpg
0.579,349683608.jpg
0.152,349786467.jpg
0.539,349816936.jpg
0.198,349953164.jpg
-0.636,349983624.jpg
0.269,350086508.jpg
-0.686,350116941.jpg
0.072,350253156.jpg
0.705,350283602.jpg
-0.575,350416943.jpg
0.045,350419799.jpg
-0.353,350553137.jpg
0.673,350583602.jpg
-0.656,350716963.jpg
-0.22,350719794.jpg
-0.461,350853129.jpg
-0.559,350883598.jpg
-0.499,351016924.jpg
-0.345,351019821.jpg
-0.463,351153125.jpg
-0.584,351183600.jpg
-0.675,351316930.jpg
-0.457,351319788.jpg
-0.589,351453119.jpg
-0.58,351483612.jpg
-0.663,351616934.jpg
-0.586,351619788.jpg
-0.702,351753128.jpg
0.644,351783593.jpg
0.6,351916923.jpg
-0.566,351919801.jpg
0.459,352050253.jpg
-0.522,352053120.jpg
0.337,352216955.jpg
-0.557,352219793.jpg
0.214,352350253.jpg
-0.501,352353112.jpg
0.136,352516936.jpg
-0.538,352519788.jpg
0.047,352650261.jpg
-0.729,352653112.jpg
0.684,352783584.jpg
-0.518,352819781.jpg
0.719,352950255.jpg
-0.565,352953111.jpg
0.657,353083579.jpg
-0.49,353086447.jpg
0.487,353250250.jpg
-0.77,353253110.jpg
0.24,353383581.jpg
-0.383,353386437.jpg
0.197,353550239.jpg
-0.76,353553103.jpg
-0.055,353683573.jpg
-0.767,353686441.jpg
-0.81,353819772.jpg
-0.332,353850265.jpg
-0.451,353983579.jpg
-0.079,353986430.jpg
-0.537,354116936.jpg
-0.367,354119765.jpg
-0.659,354250237.jpg
-0.205,354286437.jpg
-0.726,354416908.jpg
-0.194,354419787.jpg
0.311,354553100.jpg
-0.821,354616927.jpg
0.221,354719761.jpg
-0.861,354750231.jpg
0.104,354853094.jpg
-0.829,354883564.jpg
-0.81,355016893.jpg
0.696,355019777.jpg
-0.816,355150242.jpg
