Collision Probability,Filename
0.0,332617081.jpg
1.0,327053317.jpg
0.0,463984447.jpg
0.0,215888702.jpg
1.0,349516945.jpg
1.0,347053156.jpg
0.0,201855482.jpg
1.0,395752790.jpg
0.0,189288917.jpg
1.0,424485876.jpg
0.0,207255431.jpg
0.0,220355526.jpg
1.0,367183484.jpg
0.0,222421982.jpg
0.0,406852679.jpg
0.0,375216777.jpg
0.0,53824124.jpg
1.0,362450174.jpg
0.0,194255534.jpg
1.0,330519952.jpg
1.0,329983766.jpg
1.0,362286367.jpg
0.0,343253185.jpg
1.0,352519788.jpg
1.0,294320274.jpg
0.0,356186422.jpg
1.0,424352549.jpg
1.0,178889010.jpg
1.0,43088171.jpg
0.0,385319521.jpg
0.0,208655422.jpg
0.0,375419596.jpg
1.0,353686441.jpg
0.0,394219449.jpg
0.0,46624237.jpg
0.0,399919414.jpg
1.0,369186316.jpg
0.0,49957495.jpg
0.0,207822140.jpg
0.0,307120144.jpg
0.0,338086598.jpg
0.0,221822007.jpg
0.0,341019867.jpg
1.0,176455688.jpg
1.0,385619523.jpg
1.0,384886186.jpg
1.0,297953547.jpg
0.0,348183619.jpg
1.0,397686088.jpg
1.0,227855273.jpg
0.0,349216982.jpg
1.0,206288788.jpg
1.0,366883473.jpg
1.0,308586812.jpg
1.0,419752579.jpg
0.0,368919652.jpg
1.0,422185895.jpg
0.0,465651105.jpg
0.0,52457473.jpg
1.0,43388143.jpg
1.0,328850438.jpg
0.0,397986141.jpg
0.0,222855310.jpg
0.0,354116936.jpg
0.0,402852735.jpg
0.0,352783584.jpg
1.0,175755685.jpg
1.0,362750179.jpg
0.0,316186734.jpg
1.0,346286526.jpg
0.0,181222308.jpg
0.0,207955430.jpg
1.0,327186648.jpg
1.0,417352600.jpg
0.0,47824190.jpg
1.0,311286770.jpg
0.0,245955147.jpg
0.0,192588921.jpg
0.0,246388461.jpg
0.0,45990866.jpg
0.0,470384397.jpg
1.0,200355492.jpg
0.0,388519502.jpg
1.0,345916966.jpg
0.0,413419308.jpg
0.0,195722229.jpg
1.0,397219427.jpg
0.0,353083579.jpg
0.0,399052745.jpg
0.0,212055409.jpg
0.0,212755393.jpg
0.0,372083428.jpg
1.0,344316986.jpg
0.0,355586424.jpg
0.0,224021968.jpg
1.0,44954796.jpg
0.0,352350253.jpg
1.0,363983500.jpg
1.0,336283711.jpg
0.0,237788523.jpg
1.0,420585907.jpg
1.0,395586098.jpg
0.0,47557547.jpg
1.0,376619600.jpg
0.0,234455217.jpg
0.0,383086231.jpg
0.0,312620105.jpg
0.0,44157585.jpg
0.0,373916749.jpg
0.0,52157599.jpg
1.0,328753315.jpg
1.0,338683690.jpg
0.0,350719794.jpg
1.0,340683674.jpg
0.0,210622079.jpg
1.0,293286933.jpg
0.0,241721834.jpg
0.0,194388879.jpg
0.0,320486708.jpg
0.0,181788968.jpg
0.0,361119710.jpg
0.0,356250301.jpg
0.0,243288483.jpg
1.0,361250188.jpg
0.0,51624166.jpg
1.0,177622372.jpg
0.0,196255527.jpg
1.0,381552881.jpg
0.0,367719660.jpg
0.0,192855548.jpg
0.0,242855215.jpg
0.0,195322196.jpg
0.0,184622283.jpg
1.0,318153400.jpg
0.0,412819304.jpg
1.0,350253156.jpg
0.0,245555138.jpg
0.0,302486853.jpg
0.0,373486309.jpg
1.0,345886513.jpg
0.0,238488536.jpg
0.0,416185936.jpg
0.0,213922054.jpg
1.0,386052843.jpg
1.0,358650230.jpg
1.0,359453114.jpg
0.0,343986520.jpg
0.0,246955123.jpg
0.0,404652698.jpg
0.0,410119333.jpg
1.0,333819929.jpg
0.0,231288578.jpg
0.0,202855485.jpg
0.0,48657521.jpg
0.0,371916766.jpg
0.0,337486569.jpg
1.0,325319993.jpg
0.0,336419915.jpg
1.0,334450450.jpg
0.0,343116992.jpg
0.0,465051098.jpg
0.0,191355562.jpg
0.0,374183449.jpg
1.0,371119644.jpg
1.0,369983453.jpg
0.0,203955518.jpg
0.0,193388885.jpg
0.0,333119930.jpg
0.0,387519510.jpg
0.0,320786703.jpg
0.0,207122102.jpg
1.0,293586914.jpg
0.0,231688573.jpg
0.0,409585991.jpg
0.0,47290849.jpg
1.0,340217041.jpg
0.0,216488696.jpg
0.0,42990909.jpg
1.0,229288591.jpg
1.0,411286063.jpg
0.0,342386571.jpg
1.0,293886911.jpg
0.0,197522180.jpg
0.0,339419890.jpg
0.0,355753091.jpg
0.0,203822130.jpg
0.0,190389056.jpg
1.0,370850106.jpg
0.0,354286437.jpg
1.0,179888990.jpg
1.0,53424169.jpg
1.0,395119439.jpg
0.0,245155172.jpg
0.0,224321971.jpg
1.0,333717075.jpg
1.0,411119313.jpg
1.0,345183640.jpg
0.0,238321854.jpg
0.0,462517815.jpg
0.0,412485966.jpg
0.0,223888639.jpg
0.0,329619961.jpg
1.0,176155730.jpg
1.0,331317092.jpg
1.0,298520206.jpg
0.0,341186536.jpg
1.0,304620158.jpg
0.0,416485949.jpg
1.0,378152933.jpg
0.0,388252861.jpg
0.0,356516891.jpg
0.0,372383443.jpg
0.0,384619521.jpg
1.0,346019827.jpg
0.0,220955369.jpg
0.0,231121929.jpg
1.0,308020132.jpg
0.0,239588535.jpg
0.0,192722217.jpg
1.0,359886390.jpg
0.0,389686151.jpg
0.0,354553100.jpg
0.0,407486010.jpg
0.0,393286126.jpg
0.0,313186858.jpg
0.0,192455551.jpg
0.0,190222235.jpg
0.0,360586415.jpg
0.0,344586507.jpg
0.0,348483624.jpg
1.0,352819781.jpg
0.0,221688677.jpg
0.0,192322241.jpg
1.0,349319817.jpg
1.0,198855504.jpg
1.0,229988622.jpg
0.0,195588918.jpg
1.0,362153036.jpg
0.0,195455530.jpg
0.0,374386271.jpg
0.0,244755143.jpg
1.0,333253259.jpg
0.0,210322146.jpg
1.0,358453095.jpg
1.0,292853589.jpg
1.0,359850192.jpg
1.0,362150177.jpg
0.0,186888939.jpg
1.0,365983480.jpg
1.0,199288847.jpg
0.0,335653247.jpg
1.0,371686299.jpg
0.0,45857524.jpg
1.0,357850207.jpg
1.0,351616934.jpg
0.0,313920087.jpg
1.0,297253548.jpg
0.0,235555216.jpg
0.0,373616749.jpg
0.0,52290813.jpg
0.0,313353425.jpg
0.0,245688476.jpg
0.0,463317784.jpg
1.0,45221462.jpg
0.0,213622082.jpg
0.0,415352637.jpg
1.0,369816783.jpg
1.0,309020129.jpg
1.0,341583672.jpg
0.0,394352775.jpg
0.0,196755519.jpg
1.0,178322332.jpg
1.0,341750420.jpg
1.0,366283474.jpg
1.0,357583540.jpg
0.0,204355457.jpg
0.0,197022214.jpg
1.0,353850265.jpg
0.0,238188520.jpg
1.0,349019841.jpg
0.0,399319718.jpg
0.0,214088720.jpg
1.0,323753337.jpg
1.0,417952594.jpg
0.0,247321788.jpg
0.0,328150448.jpg
1.0,304486826.jpg
1.0,423185888.jpg
0.0,414885954.jpg
0.0,354719761.jpg
0.0,380252893.jpg
1.0,309753451.jpg
0.0,364750174.jpg
0.0,371183445.jpg
1.0,425319216.jpg
1.0,177889019.jpg
0.0,373283424.jpg
0.0,356319766.jpg
1.0,308886795.jpg
1.0,372586289.jpg
1.0,205555461.jpg
0.0,214688732.jpg
0.0,47957511.jpg
0.0,208922093.jpg
1.0,206555443.jpg
1.0,425185871.jpg
0.0,49657499.jpg
1.0,300486855.jpg
0.0,303553505.jpg
1.0,363683497.jpg
0.0,237521885.jpg
0.0,384352859.jpg
0.0,321953373.jpg
0.0,235121891.jpg
0.0,376250070.jpg
0.0,368186319.jpg
1.0,298086880.jpg
0.0,348916958.jpg
1.0,419852581.jpg
1.0,42521483.jpg
0.0,190522244.jpg
0.0,48924170.jpg
0.0,368216796.jpg
0.0,408686005.jpg
1.0,301886880.jpg
0.0,188455592.jpg
1.0,176622347.jpg
0.0,319153379.jpg
0.0,213488719.jpg
0.0,368619669.jpg
1.0,297520217.jpg
1.0,420719236.jpg
0.0,339153221.jpg
0.0,355886427.jpg
1.0,380986221.jpg
1.0,337017041.jpg
1.0,357186428.jpg
1.0,391952799.jpg
1.0,419585995.jpg
1.0,405419368.jpg
1.0,376850055.jpg
0.0,219155384.jpg
0.0,355019777.jpg
0.0,185822272.jpg
0.0,54957453.jpg
1.0,360319800.jpg
0.0,356053086.jpg
0.0,218855344.jpg
1.0,337353247.jpg
0.0,212622075.jpg
0.0,187588959.jpg
0.0,311586773.jpg
0.0,327450451.jpg
0.0,416052611.jpg
1.0,326319987.jpg
0.0,237388535.jpg
1.0,425052561.jpg
1.0,40554830.jpg
0.0,373150088.jpg
1.0,205188794.jpg
1.0,325186664.jpg
1.0,357050216.jpg
0.0,403619466.jpg
1.0,366186337.jpg
0.0,220788667.jpg
0.0,403919377.jpg
0.0,223155375.jpg
1.0,227421943.jpg
1.0,334586591.jpg
0.0,182722305.jpg
1.0,228155268.jpg
1.0,318720050.jpg
1.0,334583754.jpg
0.0,393886119.jpg
1.0,293420245.jpg
1.0,424052560.jpg
0.0,50357494.jpg
0.0,206855445.jpg
0.0,330150425.jpg
0.0,186622533.jpg
1.0,343583660.jpg
0.0,241021842.jpg
0.0,233988590.jpg
1.0,342050334.jpg
1.0,324020008.jpg
1.0,310686778.jpg
0.0,468617806.jpg
0.0,241155172.jpg
0.0,182455628.jpg
1.0,41731062.jpg
0.0,232121918.jpg
0.0,332586605.jpg
0.0,317553387.jpg
0.0,405686030.jpg
0.0,468917805.jpg
0.0,302653510.jpg
0.0,324453334.jpg
1.0,369250146.jpg
0.0,43857550.jpg
1.0,332719964.jpg
0.0,375083406.jpg
0.0,406419417.jpg
1.0,318453393.jpg
0.0,183522833.jpg
0.0,387352839.jpg
1.0,424186024.jpg
1.0,422352561.jpg
1.0,360116857.jpg
1.0,390686144.jpg
0.0,186488947.jpg
0.0,206988770.jpg
1.0,42954823.jpg
1.0,338083701.jpg
0.0,322653348.jpg
0.0,399186075.jpg
1.0,338383700.jpg
0.0,363919691.jpg
0.0,349816936.jpg
1.0,374950100.jpg
0.0,467784414.jpg
0.0,462784452.jpg
0.0,406552693.jpg
1.0,295353566.jpg
0.0,384186193.jpg
0.0,374086360.jpg
1.0,176022350.jpg
0.0,351153125.jpg
0.0,353983579.jpg
0.0,233288679.jpg
1.0,327353318.jpg
1.0,337650368.jpg
0.0,195988869.jpg
0.0,372719624.jpg
1.0,411885979.jpg
1.0,366583474.jpg
0.0,408086176.jpg
0.0,47157517.jpg
1.0,309153454.jpg
1.0,349186473.jpg
0.0,311886776.jpg
1.0,334017064.jpg
0.0,316953438.jpg
0.0,407319346.jpg
1.0,307720141.jpg
1.0,401386072.jpg
0.0,212455422.jpg
0.0,406719379.jpg
1.0,335953247.jpg
0.0,402552715.jpg
1.0,226588651.jpg
1.0,365350150.jpg
1.0,358383545.jpg
1.0,309320146.jpg
1.0,333686596.jpg
1.0,355450230.jpg
1.0,175589054.jpg
1.0,310253450.jpg
1.0,305053490.jpg
0.0,379952902.jpg
0.0,382952876.jpg
1.0,359950192.jpg
0.0,416619271.jpg
0.0,315586738.jpg
1.0,342816998.jpg
0.0,383219539.jpg
1.0,339283702.jpg
0.0,403152708.jpg
1.0,349786467.jpg
1.0,344016985.jpg
0.0,225321962.jpg
1.0,200088835.jpg
1.0,304153500.jpg
1.0,350419799.jpg
0.0,368019652.jpg
1.0,395452773.jpg
0.0,319586794.jpg
0.0,404219368.jpg
1.0,396619438.jpg
0.0,312186772.jpg
0.0,414152642.jpg
0.0,48390843.jpg
0.0,218588703.jpg
1.0,377852936.jpg
0.0,188988923.jpg
0.0,464917767.jpg
1.0,417219267.jpg
0.0,364686355.jpg
0.0,196888910.jpg
1.0,341283676.jpg
0.0,334886619.jpg
1.0,367483472.jpg
1.0,359319751.jpg
0.0,232521904.jpg
1.0,330353288.jpg
1.0,347186490.jpg
1.0,375286269.jpg
0.0,247188452.jpg
0.0,218722029.jpg
1.0,177189006.jpg
1.0,206422145.jpg
1.0,336583730.jpg
0.0,239988518.jpg
1.0,227155300.jpg
0.0,350853129.jpg
1.0,342686531.jpg
0.0,398852767.jpg
1.0,356753079.jpg
1.0,293720243.jpg
0.0,210755411.jpg
1.0,341417012.jpg
0.0,214388714.jpg
0.0,368483471.jpg
0.0,49390874.jpg
1.0,356916885.jpg
1.0,362283507.jpg
0.0,314220127.jpg
0.0,339286558.jpg
1.0,364916822.jpg
0.0,348783624.jpg
1.0,336883717.jpg
0.0,388819492.jpg
0.0,339886555.jpg
0.0,222122021.jpg
1.0,344286524.jpg
1.0,340453204.jpg
1.0,296686915.jpg
1.0,293153612.jpg
1.0,302053544.jpg
0.0,351319788.jpg
1.0,345719838.jpg
0.0,245821796.jpg
1.0,301253517.jpg
0.0,338853223.jpg
0.0,198055515.jpg
1.0,304753490.jpg
0.0,244621808.jpg
1.0,300320214.jpg
1.0,319720058.jpg
0.0,314920074.jpg
0.0,354250237.jpg
0.0,198988845.jpg
1.0,43954804.jpg
0.0,219588675.jpg
0.0,243655146.jpg
1.0,330219958.jpg
0.0,220188674.jpg
0.0,410985980.jpg
0.0,414019315.jpg
1.0,335017055.jpg
1.0,333883885.jpg
1.0,318286954.jpg
1.0,354616927.jpg
1.0,342983705.jpg
1.0,335117066.jpg
0.0,193855545.jpg
0.0,236355219.jpg
0.0,335786577.jpg
1.0,331150416.jpg
0.0,398686079.jpg
0.0,181355687.jpg
0.0,359350279.jpg
1.0,329850432.jpg
0.0,398552755.jpg
1.0,177322341.jpg
1.0,324620008.jpg
1.0,421752563.jpg
0.0,331219945.jpg
0.0,404052713.jpg
0.0,373186286.jpg
1.0,355150242.jpg
0.0,413119296.jpg
0.0,346216969.jpg
0.0,43990904.jpg
1.0,300620193.jpg
0.0,338253225.jpg
0.0,403452710.jpg
0.0,183922313.jpg
0.0,331086619.jpg
1.0,319886714.jpg
1.0,333386602.jpg
0.0,416919286.jpg
0.0,343119854.jpg
1.0,380819557.jpg
0.0,465217765.jpg
0.0,183388986.jpg
0.0,331786612.jpg
0.0,357716894.jpg
0.0,53957472.jpg
1.0,199822162.jpg
0.0,44290870.jpg
0.0,214988707.jpg
0.0,342253221.jpg
1.0,228855266.jpg
0.0,367452994.jpg
1.0,296953563.jpg
0.0,371616767.jpg
0.0,317253391.jpg
0.0,416352605.jpg
1.0,401952718.jpg
0.0,317086763.jpg
0.0,320320037.jpg
0.0,360719715.jpg
0.0,467517751.jpg
1.0,336119926.jpg
1.0,294586910.jpg
1.0,395286108.jpg
0.0,376683391.jpg
1.0,421585906.jpg
1.0,419319253.jpg
0.0,190788904.jpg
0.0,464251105.jpg
0.0,241588538.jpg
1.0,390252812.jpg
0.0,187055619.jpg
0.0,184488986.jpg
1.0,365886338.jpg
0.0,376550065.jpg
0.0,181488984.jpg
1.0,364416831.jpg
0.0,393452816.jpg
0.0,212188750.jpg
1.0,370116774.jpg
1.0,43521475.jpg
1.0,361383520.jpg
0.0,239721850.jpg
0.0,415185949.jpg
1.0,295786903.jpg
1.0,328119977.jpg
0.0,224755305.jpg
0.0,358783531.jpg
0.0,223588671.jpg
0.0,312486767.jpg
1.0,376919585.jpg
0.0,182988991.jpg
1.0,41554823.jpg
1.0,329019963.jpg
0.0,332253336.jpg
0.0,233721892.jpg
0.0,197688851.jpg
0.0,409986002.jpg
1.0,204922158.jpg
1.0,309453452.jpg
0.0,414452620.jpg
0.0,187389006.jpg
0.0,323253348.jpg
1.0,353086447.jpg
0.0,413719293.jpg
0.0,466717758.jpg
0.0,467117750.jpg
1.0,390819486.jpg
0.0,321386699.jpg
1.0,179188992.jpg
0.0,363619693.jpg
1.0,346516965.jpg
1.0,206155491.jpg
1.0,337950367.jpg
1.0,44088171.jpg
1.0,341953194.jpg
1.0,421152605.jpg
1.0,338250383.jpg
1.0,367616800.jpg
0.0,351453119.jpg
0.0,299886864.jpg
1.0,362719695.jpg
1.0,345586498.jpg
1.0,358619732.jpg
1.0,366752997.jpg
0.0,299320200.jpg
0.0,315753403.jpg
0.0,247621786.jpg
1.0,200622154.jpg
0.0,375586264.jpg
1.0,340619872.jpg
1.0,368050139.jpg
1.0,367019658.jpg
1.0,381419553.jpg
1.0,361983517.jpg
0.0,183788955.jpg
0.0,400952730.jpg
0.0,316486734.jpg
1.0,360983523.jpg
1.0,346153169.jpg
0.0,237921858.jpg
1.0,325486659.jpg
1.0,296553556.jpg
1.0,321220038.jpg
1.0,302786840.jpg
1.0,301720187.jpg
1.0,178455715.jpg
0.0,350716963.jpg
0.0,231555248.jpg
1.0,418485917.jpg
0.0,246521836.jpg
0.0,378886239.jpg
0.0,385186182.jpg
0.0,246255162.jpg
0.0,344453173.jpg
0.0,346683627.jpg
0.0,340153214.jpg
0.0,180622326.jpg
0.0,202422169.jpg
0.0,307253467.jpg
0.0,240755189.jpg
0.0,361853050.jpg
0.0,247055143.jpg
1.0,310986782.jpg
1.0,396186101.jpg
1.0,358919727.jpg
0.0,48257509.jpg
0.0,336719907.jpg
0.0,364086382.jpg
1.0,363019691.jpg
0.0,468051105.jpg
1.0,300020193.jpg
0.0,352950255.jpg
1.0,385052880.jpg
0.0,243455307.jpg
1.0,357450211.jpg
0.0,231955238.jpg
0.0,462651128.jpg
0.0,210055420.jpg
1.0,229855256.jpg
0.0,371783431.jpg
0.0,239255186.jpg
0.0,345616979.jpg
1.0,386186181.jpg
0.0,303853511.jpg
0.0,204522266.jpg
0.0,232388584.jpg
1.0,307853467.jpg
0.0,242421825.jpg
0.0,326883818.jpg
1.0,377686255.jpg
0.0,389119485.jpg
1.0,179589135.jpg
0.0,212322059.jpg
1.0,301120189.jpg
0.0,46890887.jpg
0.0,191488892.jpg
0.0,306653475.jpg
1.0,358950203.jpg
1.0,353550239.jpg
0.0,379352913.jpg
1.0,356783549.jpg
1.0,304320174.jpg
1.0,343417000.jpg
1.0,344883645.jpg
0.0,338986555.jpg
0.0,354416908.jpg
1.0,229555274.jpg
0.0,190655564.jpg
1.0,294720237.jpg
0.0,344750315.jpg
0.0,208522120.jpg
0.0,194655534.jpg
1.0,332853268.jpg
0.0,346816969.jpg
0.0,197122202.jpg
0.0,191222229.jpg
0.0,219888669.jpg
1.0,381952883.jpg
1.0,371016785.jpg
1.0,200222203.jpg
0.0,377150058.jpg
0.0,209755413.jpg
0.0,335186584.jpg
0.0,242021855.jpg
0.0,52857482.jpg
1.0,340517010.jpg
1.0,366586333.jpg
1.0,308153463.jpg
1.0,370819653.jpg
0.0,353250250.jpg
1.0,347283634.jpg
0.0,238621874.jpg
1.0,359083540.jpg
0.0,349983624.jpg
1.0,369416792.jpg
1.0,53557468.jpg
1.0,310520111.jpg
1.0,345050335.jpg
0.0,328283781.jpg
0.0,190088904.jpg
1.0,344150315.jpg
1.0,42724221.jpg
0.0,408219335.jpg
0.0,312920116.jpg
1.0,356619747.jpg
0.0,410686027.jpg
0.0,372816759.jpg
0.0,187255603.jpg
1.0,198322176.jpg
1.0,396319433.jpg
0.0,355453100.jpg
0.0,372683436.jpg
0.0,186222278.jpg
1.0,346453159.jpg
1.0,175889508.jpg
0.0,394052781.jpg
0.0,241855163.jpg
0.0,322386711.jpg
1.0,348016950.jpg
0.0,45157544.jpg
0.0,218122067.jpg
0.0,180322313.jpg
0.0,209088778.jpg
0.0,217688752.jpg
1.0,325053329.jpg
0.0,216788699.jpg
0.0,375516738.jpg
0.0,45290864.jpg
0.0,242288505.jpg
0.0,185688941.jpg
0.0,322086692.jpg
0.0,209355940.jpg
0.0,464784441.jpg
1.0,411585974.jpg
0.0,361419715.jpg
0.0,393119458.jpg
0.0,349083619.jpg
1.0,307420139.jpg
0.0,388686161.jpg
0.0,333050407.jpg
0.0,408386005.jpg
0.0,204088796.jpg
0.0,45424201.jpg
1.0,417652621.jpg
0.0,386752844.jpg
0.0,208088789.jpg
1.0,420019246.jpg
0.0,197255524.jpg
0.0,341117011.jpg
0.0,214222051.jpg
0.0,334719921.jpg
1.0,411719310.jpg
1.0,381686213.jpg
0.0,347416967.jpg
1.0,199555522.jpg
1.0,332183774.jpg
0.0,220488666.jpg
1.0,308320135.jpg
1.0,328886647.jpg
1.0,377986247.jpg
0.0,347583638.jpg
0.0,342086583.jpg
1.0,345319841.jpg
1.0,50624158.jpg
0.0,363786367.jpg
0.0,244488480.jpg
0.0,345783637.jpg
0.0,220055359.jpg
1.0,359716862.jpg
0.0,234588565.jpg
0.0,215122057.jpg
1.0,294020263.jpg
0.0,464517772.jpg
1.0,44788130.jpg
1.0,41254860.jpg
0.0,373750130.jpg
1.0,308720162.jpg
1.0,363350164.jpg
0.0,339586547.jpg
0.0,239055215.jpg
0.0,327883797.jpg
0.0,383352904.jpg
1.0,309586793.jpg
0.0,211888732.jpg
1.0,179322328.jpg
0.0,350553137.jpg
1.0,358319740.jpg
0.0,320186705.jpg
0.0,335486617.jpg
1.0,337483702.jpg
1.0,305353517.jpg
1.0,423485893.jpg
1.0,178622335.jpg
1.0,382119556.jpg
1.0,381819550.jpg
0.0,408519336.jpg
0.0,387652829.jpg
1.0,305486841.jpg
1.0,359186455.jpg
0.0,346983665.jpg
0.0,329453305.jpg
0.0,200922168.jpg
1.0,351483612.jpg
1.0,296820219.jpg
0.0,316786732.jpg
0.0,240621843.jpg
0.0,216022039.jpg
0.0,201755558.jpg
0.0,306820153.jpg
0.0,410419343.jpg
1.0,314386745.jpg
0.0,409719345.jpg
0.0,247788483.jpg
0.0,340753207.jpg
1.0,339450356.jpg
1.0,371552970.jpg
1.0,418219257.jpg
0.0,224455331.jpg
0.0,222555337.jpg
1.0,369619639.jpg
0.0,190922232.jpg
1.0,337186569.jpg
1.0,397519425.jpg
0.0,402686049.jpg
0.0,236055203.jpg
0.0,323120039.jpg
0.0,414285968.jpg
1.0,342516999.jpg
1.0,424752539.jpg
0.0,234321893.jpg
1.0,338850364.jpg
0.0,46757567.jpg
1.0,301420227.jpg
0.0,180955675.jpg
0.0,351019821.jpg
1.0,41121497.jpg
0.0,398119419.jpg
1.0,350283602.jpg
0.0,222988642.jpg
1.0,418919267.jpg
0.0,330717093.jpg
0.0,234721986.jpg
1.0,296053561.jpg
0.0,355153096.jpg
1.0,42024224.jpg
0.0,317686727.jpg
1.0,300186861.jpg
1.0,364583491.jpg
1.0,386486180.jpg
0.0,51324155.jpg
0.0,202688810.jpg
1.0,369683448.jpg
1.0,228555278.jpg
1.0,358153073.jpg
1.0,368650121.jpg
0.0,367319660.jpg
1.0,344450318.jpg
1.0,370352972.jpg
1.0,337317046.jpg
1.0,358019743.jpg
1.0,391552802.jpg
1.0,367050146.jpg
1.0,365516830.jpg
0.0,194788872.jpg
0.0,217522303.jpg
0.0,44724198.jpg
1.0,323886677.jpg
0.0,246821789.jpg
0.0,399486076.jpg
1.0,179755651.jpg
0.0,313620148.jpg
1.0,310386779.jpg
1.0,42290893.jpg
0.0,346383634.jpg
0.0,399619433.jpg
1.0,198555513.jpg
1.0,386919520.jpg
1.0,301553575.jpg
0.0,412952638.jpg
1.0,362453067.jpg
0.0,235255258.jpg
0.0,189122243.jpg
1.0,343716988.jpg
1.0,420852573.jpg
1.0,352053120.jpg
1.0,420419260.jpg
0.0,343686520.jpg
0.0,197922195.jpg
1.0,335417055.jpg
1.0,326419997.jpg
1.0,41557562.jpg
1.0,377219587.jpg
1.0,324920016.jpg
0.0,215288707.jpg
0.0,236621877.jpg
0.0,54557479.jpg
0.0,245021829.jpg
0.0,210888741.jpg
0.0,242688501.jpg
1.0,347786496.jpg
1.0,392119466.jpg
0.0,351619788.jpg
0.0,203122137.jpg
0.0,388086167.jpg
1.0,295220235.jpg
0.0,462917787.jpg
1.0,396919423.jpg
0.0,185555639.jpg
0.0,215722035.jpg
1.0,367750142.jpg
0.0,236488574.jpg
0.0,225455291.jpg
1.0,295053569.jpg
0.0,364219684.jpg
1.0,400819418.jpg
0.0,403319378.jpg
1.0,41954820.jpg
1.0,366453012.jpg
0.0,51457484.jpg
1.0,305920147.jpg
1.0,317986725.jpg
1.0,368950119.jpg
1.0,370716781.jpg
0.0,55224163.jpg
0.0,299620211.jpg
0.0,246655148.jpg
1.0,226155289.jpg
0.0,403752707.jpg
1.0,371252979.jpg
0.0,339719880.jpg
0.0,365119678.jpg
